event_date,ticker,mention_count,avg_tone,rolling_mean,rolling_std,z_score
2024-01-17,AAPL,157.0,0.6163228039593911,71.41176470588235,42.33063137895744,2.021898386723888
2024-02-02,AAPL,203.0,0.0484755731251498,82.56666666666666,46.5274730361153,2.5884348638459524
2024-02-28,AAPL,186.0,0.6170620464063523,71.3,43.87533279174309,2.614225185354843
2024-03-04,AAPL,179.0,-0.6429392637314153,67.03333333333333,40.36000353143531,2.7741986340377514
2024-03-05,AAPL,179.0,-0.7458079933662141,72.33333333333333,44.22538928569497,2.4118875693236417
2024-03-21,AAPL,459.0,-1.7846839906132028,88.3,82.59754943346559,4.488026612685504
2024-04-12,AAPL,389.0,-4.7894050332115,104.76666666666667,99.31756219782852,2.861863773570832
2024-06-03,AAPL,156.0,0.7759357788678803,69.56666666666666,40.350775178071295,2.1420488937795104
2024-06-05,AAPL,263.0,-1.811536647561558,76.86666666666666,53.111939909209966,3.5045478220436186
2024-06-06,AAPL,214.0,-0.6444000097897273,79.0,57.27309050986959,2.357127907681813
2024-06-24,AAPL,240.0,-0.1366969366486355,95.73333333333333,66.28097627594168,2.1765923613746136
2024-08-05,AAPL,145.0,-1.6894807326525902,57.96666666666667,32.17032615715082,2.705391698802767
2024-08-28,AAPL,153.0,0.1647737977386785,60.13333333333333,34.491111631972466,2.6924811139047606
2024-09-09,AAPL,199.0,1.106021650054842,57.6,38.84948852456981,3.639687557548501
2024-09-10,AAPL,310.0,0.1076853707750751,67.13333333333334,59.775288016631556,4.062994503666678
2024-10-28,AAPL,110.0,1.0171042136769717,45.233333333333334,21.650329826799098,2.991486373870274
2024-11-01,AAPL,97.0,0.5372107128608478,48.833333333333336,23.910873782809837,2.0144251985176287
2024-12-13,AAPL,90.0,1.5449128512723882,44.96666666666667,21.956828068975867,2.050994487540013
2024-02-05,AMZN,2.0,-0.39266431210165,0.26666666666666666,0.5208304597621879,3.3280183615312677
2024-02-09,AMZN,2.0,3.161739150416345,0.3,0.5959634332684376,2.8525240058382497
2024-02-21,AMZN,2.0,0.7663628831814449,0.4,0.6746646676632054,2.3715485287555103
2024-02-27,AMZN,2.0,3.53677888478226,0.4666666666666667,0.7302967433402214,2.099603137103137
2024-03-21,AMZN,4.0,-3.3093044096288726,0.6333333333333333,0.9278574999588487,3.6284307308137094
2024-03-29,AMZN,11.0,1.28968253968254,0.8666666666666667,2.112905065565406,4.795924577246299
2024-05-01,AMZN,4.0,-0.0365357889322949,0.36666666666666664,0.8087168778415271,4.49271362189291
2024-05-07,AMZN,5.0,1.593631833721936,0.5,1.1670771035014103,3.8557863799223804
2024-06-11,AMZN,2.0,1.1932380181638331,0.3333333333333333,0.7111590022187596,2.34359216640273
2024-06-13,AMZN,2.0,2.909609439630775,0.4,0.7701320979389589,2.077565659556261
2024-06-21,AMZN,2.0,1.915748224344845,0.4666666666666667,0.7302967433402215,2.0996031371031365
2024-06-26,AMZN,12.0,-0.0337635861193805,0.8,2.234525329522103,5.012250186662837
2024-07-27,AMZN,2.0,0.995899238429995,0.3333333333333333,0.5466722735905346,3.048749218101052
2024-08-07,AMZN,2.0,-1.67897949972682,0.5,0.629723529922403,2.38199770014126
2024-08-11,AMZN,7.0,4.03757599090134,0.7,1.3429252681597994,4.691251366975054
2024-09-05,AMZN,14.0,-0.7138652504078585,1.2,2.833299526505546,4.517700963225338
2024-10-17,AMZN,2.0,2.664123675198245,0.3,0.5349830806219261,3.177670587308525
2024-11-06,AMZN,2.0,0.0,0.36666666666666664,0.6149478998583798,2.6560515674734133
2024-11-22,AMZN,2.0,2.136770819257765,0.3,0.5959634332684394,2.8525240058382413
2024-01-15,BA,70.0,-1.283590021736037,11.6,25.839615211641874,2.260095575018015
2024-01-30,BA,88.0,-0.6796227372153899,18.5,26.141194864916127,2.6586389933260226
2024-02-21,BA,208.0,0.8428793479817529,18.533333333333335,41.73126945798214,4.540160630805505
2024-03-25,BA,321.0,-0.9160257959912516,15.5,58.71893896438736,5.202750686371967
2024-05-30,BA,19.0,0.0207751969661611,2.2333333333333334,3.673608893016802,4.564085931558632
2024-06-27,BA,30.0,-0.6550216788746572,3.8333333333333335,6.292213761705018,4.158578786041786
2024-07-22,BA,33.0,3.196215371086696,3.7333333333333334,7.956490880183192,3.6783384921058095
2024-07-23,BA,22.0,4.513542386258466,4.466666666666667,8.589220723888731,2.041318286834663
2024-08-07,BA,80.0,-2.466644596005646,7.066666666666666,15.686438978177724,4.649451251159995
2024-09-09,BA,12.0,-0.2827117156384026,1.7333333333333334,2.6901266901759553,3.8164249677011104
2024-09-12,BA,29.0,-3.7926606505829854,2.8,5.653195617494302,4.63454686034954
2024-09-13,BA,63.0,-3.229954724044956,4.9,12.33260327134046,4.711089680069224
2024-10-09,BA,105.0,-2.0101737026569704,7.4,22.174231705385857,4.401505373297516
2024-11-30,BA,9.0,2.982804018844719,1.0333333333333334,2.0083160441860826,3.966839128597086
2024-12-01,BA,13.0,3.02218276538287,1.4,2.9664793948385837,3.9103592022863842
2024-12-02,BA,12.0,3.021358896663163,1.8,3.52723394607541,2.8917843715325624
2024-12-04,BA,13.0,3.750667693261286,2.3333333333333335,4.062726563090192,2.625494603445176
2024-12-05,BA,14.0,3.664340898571937,2.8,4.559189280623648,2.4565771040916204
2024-12-06,BA,15.0,3.210319092242162,3.3,5.038814857922012,2.3219745773364324
2024-12-08,BA,16.0,3.051366983223421,4.2,5.604185627879036,2.10556908416787
2024-01-11,CAT,12.0,2.118294233453139,4.2727272727272725,3.37908002541843,2.2867977879026
2024-02-05,CAT,37.0,1.0888225481997755,6.133333333333334,6.6370606982792975,4.65065306313517
2024-04-03,CAT,14.0,0.5848039186862763,5.933333333333334,3.352130905736738,2.40642949022713
2024-04-25,CAT,23.0,-0.1188693120068974,6.466666666666667,4.248596793371157,3.8914809141524906
2024-06-04,CAT,11.0,0.9067898829279616,5.333333333333333,2.8080344498001373,2.0180189267514126
2024-06-07,CAT,15.0,-2.1994302337628784,5.666666666666667,3.304472761256332,2.824454612779099
2024-06-12,CAT,23.0,2.392150710907373,5.833333333333333,4.5944744424470185,3.7363722187828072
2024-06-26,CAT,71.0,-4.774921261603358,7.666666666666667,12.882314349079738,4.916300877090274
2024-08-06,CAT,26.0,0.9281355482713636,4.166666666666667,4.8571549309228805,4.495086865426568
2024-09-02,CAT,22.0,1.8133863547837128,6.6,5.4557783350663405,2.8226953248848847
2024-09-09,CAT,17.0,0.9361678848183356,7.466666666666667,4.732378080716978,2.0144910594060117
2024-10-11,CAT,17.0,0.313876217694683,7.833333333333333,4.4184826021777015,2.0746187078226286
2024-10-30,CAT,29.0,1.444188223262728,8.0,5.693311260018037,3.6885388907989323
2024-01-11,CVX,182.0,-5.448705550461947,25.818181818181817,51.96309879485283,3.005629414027338
2024-03-06,CVX,300.0,-5.786948742814609,21.566666666666666,53.0787855104501,5.245661343900109
2024-03-07,CVX,183.0,-5.763996319890285,26.966666666666665,60.711007542138596,2.570099552787572
2024-07-04,CVX,19.0,-0.3751013834282539,9.8,4.003446790816648,2.2980198016128313
2024-07-05,CVX,33.0,-2.3516861589036133,10.7,5.766430797116584,3.8672102006583997
2024-07-11,CVX,57.0,-4.750056541241317,13.3,10.255864596448864,4.260976691826773
2024-08-02,CVX,65.0,-0.5936617867542993,13.866666666666667,14.573791623968493,3.508581339206053
2024-09-02,CVX,39.0,1.0174412538795514,14.566666666666666,7.894491022589779,3.094985257873915
2024-10-16,CVX,23.0,1.5670686927332045,11.6,5.506109459438095,2.0704274195746524
2024-11-01,CVX,33.0,0.3713469362238323,13.6,6.688126380591354,2.9006628906262804
2024-12-06,CVX,29.0,-2.331102371651103,9.666666666666666,5.815160526935282,3.3246431020748504
2024-12-11,CVX,22.0,-1.3791111111551606,9.4,6.178940875654242,2.039184425545402
2024-02-07,DIS,666.0,-0.8451605862790338,155.03333333333333,115.11388164390272,4.438792779547724
2024-02-08,DIS,728.0,1.089606828871894,173.63333333333333,155.5826608842261,3.5631648380097327
2024-04-03,DIS,276.0,0.4650665748706262,107.36666666666666,57.09247388853155,2.9536876202382873
2024-04-04,DIS,317.0,1.0171270834839314,113.0,68.44831929122232,2.980350753859351
2024-04-17,DIS,350.0,0.520213264208689,127.1,83.4201455863941,2.6720164347969586
2024-05-07,DIS,501.0,1.0761875766801623,142.9,103.02873720305024,3.475729293801324
2024-05-26,DIS,954.0,2.540542779585546,157.16666666666666,175.78338616198837,4.533041209019795
2024-07-03,DIS,260.0,-0.8609831587073569,122.36666666666666,62.56223568042754,2.1999426944454865
2024-07-11,DIS,248.0,-1.639262007616742,122.23333333333333,62.65322367429816,2.0073455010146453
2024-07-24,DIS,322.0,2.7306729926753537,112.1,71.22153393849187,2.9471423654153983
2024-08-07,DIS,333.0,1.1714011919950036,115.83333333333333,74.07548960971886,2.9316939761161427
2024-08-11,DIS,395.0,3.398042004949549,127.66666666666667,88.6711605463902,3.0148847910191976
2024-08-12,DIS,390.0,4.386666939230698,138.66666666666666,99.76259174983228,2.519314393551287
2024-10-16,DIS,157.0,0.5804190380050394,68.16666666666667,34.042654109963635,2.6094714309403244
2024-10-21,DIS,258.0,2.363655237305183,75.13333333333334,49.09367073001544,3.7248521845579496
2024-11-10,DIS,256.0,1.8268315231630503,90.73333333333333,57.516974006380245,2.8733546839291986
2024-11-14,DIS,267.0,1.829540249858581,105.56666666666666,61.605912912212965,2.6204194646603516
2024-12-17,DIS,439.0,2.425127130637282,112.66666666666667,76.62552619308956,4.258807078348828
2024-01-16,GS,1042.0,-0.1312592826618975,498.0625,204.2617499680251,2.662943503055013
2024-04-15,GS,1169.0,-0.2762174147284076,619.6,195.9592850040802,2.8036436241771376
2024-04-16,GS,1077.0,0.3766651127258714,644.1,205.75736463963628,2.1039344120594743
2024-06-18,GS,971.0,-0.5291783068643313,585.1333333333333,155.7315845831587,2.4777675492065563
